player_id,name,team,season,season_end,salary,career_PTS,career_AST,career_TRB,career_WS,career_PER,log_salary,log_pred_salary,pred_salary,ValueScore
jeffeal01,Al Jefferson,Charlotte Bobcats,2013-14,2014,13500000,15.7,1.5,8.4,71.0,20.6,16.41820024340866,16.433496537286956,13708087.39303244,208087.39303244092
curryst01,Stephen Curry,Golden State Warriors,2011-12,2012,3117120,23.5,6.6,4.5,102.9,23.8,14.952420056564728,15.017023783391647,3325144.8112908592,208024.81129085924
robinth01,Thomas Robinson,Los Angeles Lakers,2016-17,2017,1050961,4.9,0.6,4.8,4.6,14.0,13.865215541653937,14.045803353784784,1258968.5767068518,208007.57670685183
westbru01,Russell Westbrook,Oklahoma City Thunder,2011-12,2012,5082416,23.0,8.4,7.0,96.9,23.7,15.441297297048504,15.481309173231471,5289896.155129345,207480.15512934513
gibsota01,Taj Gibson,Chicago Bulls,2011-12,2012,1195680,9.8,1.0,6.4,49.8,15.5,13.994225619164117,14.15423017627348,1403149.8725203387,207469.87252033874
georgde01,Devean George,Dallas Mavericks,2008-09,2009,1600000,5.6,0.9,3.1,18.2,10.6,14.28551418721001,14.407418685513637,1807433.9415983255,207433.9415983255
olynyke01,Kelly Olynyk,Boston Celtics,2014-15,2015,2075760,9.9,1.9,4.9,24.9,15.8,14.545837909648503,14.641031593237336,2283070.0154906996,207310.01549069956
poeltja01,Jakob Poeltl,Toronto Raptors,2017-18,2018,2825640,5.4,0.8,4.5,12.3,17.2,14.85424544557697,14.92503947146332,3032929.2858003224,207289.28580032242
cunnida01,Dante Cunningham,Brooklyn Nets,2017-18,2018,2300000,5.8,0.7,3.7,24.9,11.1,14.648419680899378,14.734650031153297,2507132.0070855776,207132.00708557758
anderry01,Ryan Anderson,New Jersey Nets,2008-09,2009,1225200,12.4,0.9,5.3,46.7,16.5,14.018614653940757,14.174710363444005,1432182.9309831818,206982.9309831818
ridnolu01,Luke Ridnour,Minnesota Timberwolves,2011-12,2012,3680000,9.3,4.5,2.3,36.0,13.9,15.118423310145113,15.173079075574835,3886731.284422058,206731.28442205815
bealbr01,Bradley Beal,Washington Wizards,2013-14,2014,4319280,19.8,3.7,3.9,36.4,17.1,15.278599279663194,15.325192489631695,4525291.213553132,206011.21355313156
dellama01,Matthew Dellavedova,Cleveland Cavaliers,2014-15,2015,816482,6.0,3.7,1.9,9.9,10.0,13.612760145834285,13.836730455670898,1021446.6407170439,204964.6407170439
jacksre01,Reggie Jackson,Detroit Pistons,2014-15,2015,2204370,12.9,4.4,3.0,28.2,16.1,14.605952311753267,14.694565299393998,2408621.8595543853,204251.8595543853
farmajo01,Jordan Farmar,Atlanta Hawks,2012-13,2013,1500000,7.7,2.9,1.9,13.9,13.3,14.22097566607244,14.348510537383211,1704036.72331984,204036.72331983992
melofa01,Fab Melo,Dallas Mavericks,2013-14,2014,788872,1.2,0.0,0.5,0.0,4.9,13.578359355995456,13.808206245073029,992722.2987694425,203850.29876944248
parkean01,Anthony Parker,Cleveland Cavaliers,2009-10,2010,2644230,9.1,2.3,3.2,24.5,12.2,14.78789046558034,14.862084103338841,2847876.2622852456,203646.26228524558
roberbr01,Brian Roberts,Charlotte Hornets,2016-17,2017,1050961,6.6,2.3,1.3,7.4,13.0,13.865215541653937,14.042174205051579,1254407.873232813,203446.8732328131
holidjr01,Jrue Holiday,Philadelphia 76ers,2012-13,2013,2674852,15.6,6.4,3.8,39.1,16.9,14.79940460967884,14.872586147768526,2877942.3868705323,203090.3868705323
